message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,Delivery is arriving today.,0.92,none
msg_091,mute,spam,Sender has been reported previously.,0.98,message_0381;message_0238
msg_090,notify,personal,Direct personal message.,0.7,none
msg_048,notify,urgent,Urgent action required.,0.86,message_0100;message_0152;message_0149
msg_040,mute,spam,Viral chain-forward (forwarded 7 times).,0.98,message_0135;message_0259;message_0136
msg_075,digest,business_update,Generic shipping update.,0.6,none
msg_005,notify,personal,Strong personal interaction history.,0.92,message_0114;message_0332;message_0066
msg_104,notify,personal,Direct personal message.,0.7,message_0115;message_0116;message_0383
msg_069,mute,spam,Viral chain-forward (forwarded 11 times).,0.98,message_0079;message_0247;message_0193
msg_107,notify,personal,Direct personal message.,0.7,message_0173;message_0045;message_0214
msg_070,digest,personal,Standard personal interaction history.,0.6,message_0086;message_0173;message_0045
msg_003,notify,urgent,Verification code detected.,0.98,none
msg_099,notify,personal,Strong personal interaction history.,0.92,message_0249;message_0117;message_0362
msg_008,notify,business_update,Delivery is arriving today.,0.92,none
msg_092,digest,business_update,Business message.,0.6,none
msg_060,notify,personal,Strong personal interaction history.,0.78,message_0375;message_0176;message_0284
msg_004,mute,spam,Spam content detected.,0.98,none
msg_030,digest,personal,Group conversation message.,0.6,message_0115;message_0116;message_0383
msg_045,notify,personal,Strong personal interaction history.,0.78,message_0145;message_0146
msg_052,notify,payment,Bill or payment is due today.,0.92,none
msg_009,digest,personal,Standard personal interaction history.,0.6,message_0074;message_0073
msg_071,digest,personal,Standard personal interaction history.,0.6,message_0198;message_0197
msg_016,mute,spam,Sender has been reported previously.,0.98,message_0183;message_0024;message_0088
msg_065,digest,business_update,Business message from known account.,0.6,none
msg_038,notify,urgent,Urgent action required.,0.86,message_0132;message_0131
msg_086,digest,personal,Voice note from a standard contact.,0.6,none
msg_014,notify,business_update,Delivery is arriving today.,0.92,none
msg_094,notify,business_update,Delivery is arriving today.,0.92,none
msg_029,mute,spam,Viral chain-forward (forwarded 8 times).,0.98,message_0114;message_0332;message_0066
msg_105,mute,spam,Viral chain-forward (forwarded 7 times).,0.98,message_0233;message_0373
