message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0101,message_0242,message_0243,message_0075,message_0076"
msg_091,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0381,message_0047,message_0320,message_0238,message_0380"
msg_090,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0339,message_0338"
msg_048,digest,forward,Message is forwarded.,0.7,"message_0100,message_0152,message_0149,message_0150,message_0151"
msg_040,digest,forward,Message is forwarded.,0.7,"message_0135,message_0259,message_0136"
msg_075,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0295,message_0234,message_0294,message_0376,message_0377"
msg_005,none,unknown,Contains an image.,0.2,"message_0114,message_0332,message_0066,message_0096,message_0113"
msg_104,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0336,message_0383,message_0337,message_0232"
msg_069,digest,forward,Message is forwarded.,0.7,"message_0193,message_0178,message_0042,message_0194,message_0177"
msg_107,digest,forward,Message is forwarded.,0.7,"message_0264,message_0221,message_0056,message_0235,message_0369"
msg_070,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0086,message_0173,message_0045,message_0085,message_0214"
msg_003,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0230,message_0027,message_0229,message_0061,message_0062"
msg_099,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0248,message_0362,message_0228,message_0363,message_0227"
msg_008,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0072,message_0071,message_0296,message_0297"
msg_092,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0384,message_0344,message_0345,message_0346,message_0385"
msg_060,none,unknown,Contains an image.,0.2,"message_0176,message_0284,message_0404,message_0175"
msg_004,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0005,message_0063,message_0245,message_0064,message_0246"
msg_030,digest,forward,Message is forwarded. | Contains an image.,0.7,"message_0115,message_0116,message_0224,message_0335,message_0050"
msg_045,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0145,message_0146"
msg_052,digest,forward,Message is forwarded.,0.7,"message_0375,message_0160,message_0208,message_0286,message_0374"
msg_009,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0074,message_0073"
msg_071,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0198,message_0197"
msg_016,digest,forward,Message is forwarded.,0.7,"message_0183,message_0024,message_0088,message_0087,message_0201"
msg_065,none,unknown,Contains an image.,0.2,"message_0261,message_0032,message_0262,message_0186,message_0108"
msg_038,digest,forward,Message is forwarded.,0.7,"message_0132,message_0131"
msg_086,notify,personal,Voice note implies personal communication.,0.5,"message_0248,message_0362,message_0228,message_0363,message_0227"
msg_014,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0188,message_0103,message_0084,message_0112,message_0158"
msg_094,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0388,message_0356,message_0357,message_0048,message_0389"
msg_029,digest,forward,Message is forwarded. | Contains an image.,0.7,"message_0114,message_0332,message_0066,message_0096,message_0113"
msg_105,digest,forward,Message is forwarded.,0.7,"message_0156,message_0278,message_0233,message_0409,message_0372"
msg_002,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0169,message_0266,message_0059,message_0041,message_0170"
msg_010,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0101,message_0242,message_0243,message_0075,message_0076"
msg_078,digest,forward,Message is forwarded.,0.7,"message_0212,message_0211"
msg_013,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0082,message_0081"
msg_018,digest,forward,Message is forwarded.,0.7,"message_0026,message_0091,message_0092"
msg_044,digest,forward,Message is forwarded.,0.7,"message_0143,message_0036,message_0144"
msg_032,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0285,message_0119,message_0120"
msg_106,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0295,message_0234,message_0294,message_0376,message_0377"
msg_006,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0180,message_0269,message_0030,message_0189,message_0141"
msg_109,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0100,message_0152,message_0149,message_0150,message_0151"
msg_108,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0277,message_0276,message_0093,message_0236,message_0094"
msg_019,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0277,message_0276,message_0093,message_0236,message_0094"
msg_088,notify,personal,Voice note implies personal communication.,0.5,"message_0115,message_0116,message_0224,message_0335,message_0050"
msg_056,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0040,message_0077,message_0172,message_0167,message_0014"
msg_027,none,unknown,Contains an image.,0.2,"message_0022,message_0109,message_0110,message_0007,message_0033"
msg_050,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0156,message_0278,message_0233,message_0409,message_0372"
msg_083,notify,personal,Voice note implies personal communication.,0.5,message_0219
msg_063,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0182,message_0181"
msg_033,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0122,message_0121"
msg_061,digest,forward,Message is forwarded.,0.7,"message_0193,message_0178,message_0042,message_0194,message_0177"
msg_020,digest,forward,Message is forwarded.,0.7,"message_0114,message_0332,message_0066,message_0096,message_0113"
msg_017,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0089,message_0090"
msg_058,digest,forward,Message is forwarded.,0.7,"message_0040,message_0077,message_0172,message_0167,message_0014"
msg_026,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0261,message_0032,message_0262,message_0186,message_0108"
msg_047,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0100,message_0152,message_0149,message_0150,message_0151"
msg_046,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0147,message_0148"
msg_042,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0140,message_0139"
msg_079,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0086,message_0173,message_0045,message_0085,message_0214"
msg_098,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0004,message_0225,message_0239,message_0054,message_0106"
msg_037,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0180,message_0269,message_0030,message_0189,message_0141"
msg_007,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0069,message_0070"
msg_085,notify,personal,Voice note implies personal communication.,0.5,"message_0264,message_0221,message_0056,message_0235,message_0369"
msg_001,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0240,message_0058,message_0057"
msg_021,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0180,message_0269,message_0030,message_0189,message_0141"
msg_028,none,unknown,Contains an image.,0.2,"message_0188,message_0103,message_0084,message_0112,message_0158"
msg_012,digest,forward,Message is forwarded.,0.7,"message_0079,message_0247,message_0080"
msg_064,digest,forward,Message is forwarded. | Contains an image.,0.7,"message_0183,message_0024,message_0088,message_0087,message_0201"
msg_103,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0382,message_0333,message_0231"
msg_031,none,unknown,Contains an image.,0.2,"message_0249,message_0117,message_0118"
msg_057,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0169,message_0266,message_0059,message_0041,message_0170"
msg_087,notify,personal,Voice note implies personal communication.,0.5,"message_0203,message_0358,message_0204,message_0223"
